AelafSat1.A1ModJulian     AelafSat1.EarthMJ2000Eq.X   AelafSat1.EarthMJ2000Eq.Y   AelafSat1.EarthMJ2000Eq.Z   
21545.03368736069         -6929.084536612683          1554.365166056352           -1061.946607033836          
21545.03483907821         -7016.148412487502          825.8024792531396           -1176.594651120837          
21545.03598622858         -7027.916120975756          91.3067127911426            -1278.186894736137          
21545.03712885982         -6964.586887791983          -641.2712577764406          -1365.694291433385          
21545.03826705605         -6827.159955742387          -1364.161396410334          -1438.246410892065          
21545.03940097865         -6617.404582442819          -2069.782872482599          -1495.140640477599          
21545.04053078163         -6337.841223781208          -2750.769115870071          -1535.842158386761          
21545.04165671496         -5991.682877396172          -3400.104777344211          -1559.991708038993          
21545.04277903678         -5582.808005628236          -4011.139066709814          -1567.402441933033          
21545.04389803611         -5115.708495796312          -4577.662911094577          -1558.060797025254          
21545.04501403891         -4595.432528335571          -5093.968259636558          -1532.124004393762          
21545.04612742333         -4027.516411222262          -5554.902226220392          -1489.914857282785          
21545.04723856956         -3417.946961902258          -5955.886749767687          -1431.917428048994          
21545.04834787661         -2773.092310216609          -6292.965595759802          -1358.77066055144           
21545.0494557729          -2099.630042589471          -6562.837775769552          -1271.259625441838          
21545.05056270025         -1404.489492254329          -6762.87571985026           -1170.307309120351          
21545.05072642872         -1300.224734008508          -6786.416122054157          -1154.291000893302          
21545.05142087316         -725.1595449472123          -6896.969372650786          -1063.346117432056          
21545.0524325203          117.3201018263639           -7006.733181717997          -923.052011202432           
21545.05349884134         1004.139731385014           -7057.113918513935          -766.5665181122182          
21545.05459182402         1903.581455250417           -7041.595929726441          -598.8536401656961          
21545.05575021226         2837.978641109839           -6955.599855341527          -415.1872072193106          
21545.05700343253         3818.882839030216           -6789.33982972212           -212.1240466982923          
21545.05821583279         4732.150635448175           -6564.531309786365          -13.61794998359287          
21545.05940095942         5587.250559514844           -6292.270571998683          180.5743212262466           
21545.06060176033         6413.786551203927           -5971.363742159379          376.0630983321104           
21545.06184673931         7227.726426270132           -5598.544197368313          576.2275468612411           
21545.06315787374         8038.088865379118           -5169.607438125367          783.2937291432544           
21545.06455574287         8850.759564866903           -4679.290025264182          999.0535633630196           
21545.06606186236         9669.896307463745           -4121.150828505687          1225.139502606115           
21545.06769957136         10498.20527744458           -3487.667717338286          1463.062326918823           
21545.06949278516         11336.13545684441           -2771.12090841654           1713.943702459082           
21545.07146347532         12180.91775336725           -1965.079851545106          1978.138887824015           
21545.07362788244         13025.78580536209           -1066.436161008751          2254.819408700001           
21545.07599817608         13861.89768174165           -75.01508877690173          2542.379465726869           
21545.07859027948         14681.65475724334           1009.699429685155           2839.488450037431           
21545.08143028153         15479.90435163997           2191.284301798449           3145.678723956361           
21545.08455590565         16252.7645013894            3476.738090109021           3461.177649005697           
21545.0880170531          16996.17881211957           4876.11304107192            3786.59175621932            
21545.09187695339         17704.69724185739           6402.083191577661           4122.623952953038           
21545.09621608554         18370.65792276445           8070.245387494036           4469.963331185572           
21545.10101448541         18969.43996802295           9854.478964281527           4820.556679163484           
21545.10625448388         19482.43424193709           11729.74806781051           5167.604542339244           
21545.11197962402         19899.64856461925           13692.39056135794           5508.773377789151           
21545.1182432627          20210.12098940153           15739.18662618129           5841.61057832982            
21545.12510412665         20401.13093083135           17865.03128268147           6163.085708575664           
21545.13262474069         20458.09396449339           20061.79087993042           6469.417137058274           
